F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,OUTCOME
19700,19800,20190.63239,20859.77042,21891.01636,23428.1573,25696.7798,29200,35500,50000,6960000,19700,19800,20200,20859.77042,21891.01636,23428.1573,25696.7798,29239.50156,35479.20883,50021.13333,6958380.785,0
12319.45396,12350.62378,12523.0256,12799.94181,13174.28438,13775.96367,15037.40513,17693.28574,22085.87837,31727.98858,4932853.943,12317.83871,12348.27933,12520.27198,12797.61247,13171.88836,13775.65339,15047.7902,17701.57586,22092.15104,31737.86355,4934543.234,0
19689.03323,19811.32756,20189.04459,20858.10581,21889.38154,23425.86454,25693.9045,29236.25336,35476.6164,49970.81425,6955626.442,19696.33914,19818.66907,20196.50607,20865.80221,21897.45017,23434.31469,25702.85062,29246.03398,35489.209,49989.08579,6958127.148,0
14538.19153,14630.57617,14910.94281,15406.83569,16171.33698,17306.7008,18986.55159,21625.92057,20044.45104,28195.79906,4250682.296,19716.68098,19839.1489,20217.31756,20889.88363,21923.48908,23450.70204,25722.01376,29269.18862,35497.27429,49974.94888,6954368.593,1
19708.45021,19830.8462,20208.89915,20880.43562,21913.13739,23438.90367,25707.73502,29250.70792,35485.59235,49958.73903,6952934.805,14829.85828,14922.22057,15207.21041,15712.18583,16490.57908,17647.30013,19353.95546,22035.00658,20621.42001,28997.14662,4021854.694,1
18307.18022,18420.88292,18772.1478,19394.14309,20352.84761,21769.37169,23875.6018,27164.96991,32927.44617,46342.67902,6703050.084,18313.48675,18427.22801,18778.60905,19400.81058,20359.84131,21776.82324,23883.72811,27174.15828,32938.58738,46360.21395,6705532.638,0
19798.46873,19908.928,20294.84469,20987.01881,21982.37824,23541.55275,25923.84918,29332.74867,35564.20882,50153.85906,6963046.633,19763.10463,19879.42922,20259.51369,20924.80652,21977.54519,23499.34824,25789.44012,29322.51311,35567.21997,50166.13016,6965182.117,0
19702.90137,19825.41144,20203.40849,20872.85008,21904.66836,23439.8194,25709.41525,29254.02499,35486.03164,49959.24702,6957116.168,14306.30343,14400.05386,14674.80828,15160.87998,15904.50367,17007.38019,18636.65836,20762.46423,24421.87371,34329.72858,5825486.765,1
19704.05203,19826.29969,20205.15019,20877.19343,21930.66062,23454.62136,25737.83089,29280.28399,35505.99504,50069.56641,6958411.936,19709.68917,19831.85728,20210.23458,20881.8941,21914.83569,23453.39467,25724.09998,29275.04075,35515.62477,50081.74085,6960667.099,0
1508.735005,1520.67579,1551.630622,1604.691409,1684.89392,1805.857384,1983.063612,2262.385071,2723.317675,3866.314727,3680427.351,1929.270732,1935.075461,1979.039334,2047.530004,2158.672436,2327.999533,2523.041345,2883.626865,3412.898917,4844.441381,3767212.149,0
19704.63457,19827.07354,20205.26282,20874.8747,21906.6747,23448.2073,25718.26198,29263.43376,35505.73583,50110.85248,6958223.279,19711.97215,19834.44723,20212.76865,20882.62073,21914.78035,23456.09936,25727.29725,29273.95964,35518.36361,50129.50154,6960724.16,0
16399.16382,16503.79806,16818.87108,17375.38158,18232.54326,19498.18822,21372.78309,24090.04105,28363.21604,39864.17442,6230547.177,19706.86914,19829.25557,20207.49798,20877.25567,21909.4247,23435.31511,25713.65896,29258.9895,35498.63582,49976.96071,6963908.353,1
2907.223315,2936.019399,2950.752336,2996.638492,3106.903526,3261.164458,3469.249312,4061.345936,5059.152991,7187.212234,3886245.192,2908.451061,2930.878403,2950.061995,2996.252164,3096.860725,3252.818592,3463.081828,4069.74498,5046.303624,7161.756463,3887057.27,0
19721.62578,19844.71486,20223.3244,20895.2364,21930.24567,23465.83432,25736.11887,29284.58966,35530.42344,50122.72166,6960428.804,19728.77161,19851.91018,20230.66908,20902.86092,21938.29063,23474.44219,25745.14977,29294.07764,35543.78293,50141.67061,6962949.335,0
19709.30787,19831.71738,20209.75885,20879.24504,21911.13668,23436.08973,25704.36438,29248.96306,35486.77096,49960.42944,6951868.404,14557.19066,14652.884,14935.44739,15433.98584,16202.63727,17342.78494,19034.93394,21697.56466,20342.86262,28621.67476,4292810.221,1
16504.20004,16610.15826,16927.42863,17487.59818,18348.69658,19622.31321,21504.83244,24229.40752,28301.75499,39778.19751,6230632.109,19706.8958,19829.29312,20207.52619,20877.27746,21909.46553,23435.32832,25714.57987,29259.98025,35498.07602,49976.06083,6963890.752,1
19552.54099,19674.02068,20049.30278,20713.85229,21764.75885,23281.59171,25537.71546,29061.78951,35233.40647,49603.83315,6931822.802,19559.71199,19681.23771,20056.65412,20721.44469,21772.08455,23289.45676,25546.38294,29071.73266,35245.86557,49621.3777,6934308.504,0
19709.77648,19832.18966,20215.00434,20885.15836,21918.09043,23444.91033,25714.98173,29260.03768,35487.27971,49960.67479,6951359.48,14410.97603,14507.18721,14787.49664,15282.04427,16044.6959,17175.07196,18856.41373,21503.46591,20096.88939,27996.39641,4419441.325,1
19705.62379,19827.84967,20206.08697,20875.65581,21907.24851,23432.68442,25699.78943,29243.89258,35485.14909,49957.98341,6956156.969,19705.62379,19827.84967,20206.08697,20875.65581,21907.24851,23432.68442,25699.78943,29243.89258,35485.14909,49957.98341,6956156.969,1
14428.60537,14520.18055,14796.79216,15286.2178,16039.95045,17154.53968,18805.59548,21009.25573,24376.98793,34265.32897,5825068.646,19709.80303,19832.26019,20210.43894,20880.16218,21912.42049,23450.48591,25720.28945,29265.01482,35498.3687,49976.3809,6960626.524,1
19721.89069,19843.75368,20241.00953,20924.74496,21934.32424,23469.01838,25771.7645,29284.36335,35529.14279,50125.18226,6960455.261,19727.48509,19850.71419,20231.35015,20907.24308,21939.45254,23473.5593,25763.85292,29294.52674,35541.42299,50143.40675,6962956.572,0
18424.23701,18538.69458,18892.29225,19518.43439,20483.88541,21910.13298,24030.91579,27342.63309,33160.98591,46687.97884,6725159.628,18430.40803,18544.90048,18898.60513,19524.93442,20490.65895,21917.32495,24038.69172,27351.27981,33172.19854,46703.69281,6727567.33,0
18287.01759,18400.63172,18751.60081,19373.1637,20331.1069,21799.19782,23857.55558,27142.90625,33177.37946,46633.44258,6672807.803,18290.476,18404.11375,18755.16715,19376.87431,20335.07482,21805.5427,23864.579,27148.55262,33185.11814,46643.8066,6674738.388,0
16172.5101,16272.69574,16589.73387,17132.27835,17975.15055,19221.97088,21073.3363,23962.81405,29238.06545,41162.73506,6307536.615,16354.72188,16456.03742,16769.75923,17323.15949,18176.20425,19438.1659,21309.74024,24229.88647,29547.47047,41619.46698,6342818.074,0
19650.26361,19772.3561,20149.54469,20817.47157,21865.29468,23395.40426,25661.07161,29199.65528,35406.77896,49847.74992,6949161.475,19657.47663,19779.61361,20156.94075,20825.11277,21872.43629,23403.66032,25670.08811,29209.89081,35419.44,49865.5949,6951659.833,0
19700,19800,20200,20900,21900,23400,25700,29300,35500,50000,6960000,19700,19800,20200,20860.66754,21924.62071,23429.59341,25729.18032,29250.77756,35480.34648,50001.59373,6958386.61,0
18334.15302,18448.0353,18799.85554,19422.83929,20383.06878,21801.879,23911.53391,27205.56638,32970.79175,46402.63159,6707846.16,18339.76894,18453.68646,18805.61216,19428.78337,20389.30414,21808.5368,23918.81751,27213.82961,32980.80075,46418.32407,6710185.689,0
19651.30513,19773.41345,20150.64147,20818.6711,21862.41021,23397.71742,25663.62792,29202.42679,35409.7533,49851.81096,6949327.635,19658.51266,19780.66562,20158.03287,20826.31521,21869.5552,23405.9947,25672.64123,29212.61141,35422.42322,49869.66891,6951826.181,0
19700,19800,20173.76213,20842.30534,21872.75254,23421.51756,25689.36499,29230.73866,35448.35281,49906.54172,6953006.513,19673.9215,19796.20777,20173.76213,20842.30534,21872.75254,23421.51756,25689.36499,29230.73866,35448.35281,49924.30587,6955507.316,0
1532.741392,1545.446643,1576.607441,1630.291272,1712.372798,1835.623936,2014.921417,2295.457335,2765.909033,3925.856212,3683810.257,1707.236392,1719.109515,1753.198903,1816.086221,1910.766708,2074.317896,2244.550843,2556.44113,3046.054425,4299.377631,3722627.435,0
19769.49992,19874.45212,20266.35318,20940.13745,21970.89712,23496.59913,25788.58813,29362.51271,35589.04747,50193.83607,6964001.343,19779.80963,19883.68198,20274.79426,20948.75959,21979.31808,23505.78135,25803.60414,29378.4009,35603.19069,50212.63645,6966507.196,0
19784.97965,19896.1935,20292.2454,20964.44187,21979.40636,23518.29538,25803.91624,29316.2695,35556.52326,50134.01632,6962687.766,19792.00162,19903.26678,20299.46573,20971.86057,21987.07265,23526.70099,25813.78034,29327.37399,35570.33035,50152.21509,6965213.77,0
16252.29755,16352.97,16667.92344,17216.15098,18063.344,19316.39338,21176.57176,24079.19587,29373.41809,41360.47406,6321889.648,16348.1055,16449.40123,16763.20515,17316.21344,18168.78662,19430.08133,21300.83344,24219.32322,29537.65775,41602.3113,6341119.272,0
19702.64726,19825.10819,20203.64691,20873.34337,21906.88666,23446.44645,25716.41799,29262.12248,35502.77358,50069.90729,6958159.357,19709.98422,19832.64643,20211.05562,20880.98628,21914.86896,23455.09668,25725.64424,29271.7499,35515.53444,50088.63377,6960674.874,0
19706.20256,19828.59563,20206.65494,20876.14981,21913.00159,23439.20755,25708.719,29253.43857,35483.8215,49956.00374,6955134.011,15506.8074,15606.95591,15906.86468,16435.94287,17251.40647,18462.52884,20255.28912,23073.04067,22145.26168,31134.37463,3545038.963,1
19700,19800,20200,20900,21900,23400,25700,29300,35500,50000,6960000,19700,19800,20200,20860.81635,21919.18035,23429.0805,25718.84691,29252.0872,35482.93445,50010.91223,6958388.823,0
10644.68038,10739.65806,10970.17396,11348.983,11939.90129,12798.07992,14061.00534,16057.23376,21472.6373,30632.84328,4813379.836,10776.5008,10795.35959,11059.30011,11452.51898,12108.74223,13103.78178,14765.03861,16145.96976,21290.12905,30560.92479,4864268.657,0
19704.47603,19826.91058,20205.12252,20874.75065,21906.56341,23449.0316,25719.0709,29263.83177,35504.68598,50116.54692,6958220.025,19711.80545,19834.27035,20212.61839,20882.48602,21914.66148,23456.63,25727.34165,29273.12951,35517.21992,50134.91505,6960720.639,0
15167.93677,15266.02189,15559.3005,16076.96031,16875.75183,18060.98703,19815.75793,22574.45161,21553.38864,30304.17881,3801349.562,19714.50517,19836.9635,20215.14366,20884.87552,21927.43348,23454.18013,25724.26292,29269.22634,35497.83331,49975.89955,6956559.566,1
15917.13278,16019.89267,16327.19728,16870.90046,17706.27081,18949.80809,20783.96572,23665.67926,22817.42997,32075.31293,3257736.739,19712.62785,19834.95524,20213.24799,20883.03824,21915.13346,23448.78035,25718.88312,29264.27224,35498.51376,49976.81889,6958707.425,1
15758.67479,15859.71381,16162.65897,16696.9101,17517.94798,18733.43119,20525.52764,23094.50179,26877.24696,37778.01939,6078483.24,19707.93404,19830.36305,20208.56878,20878.30438,21910.53214,23436.31653,25718.67532,29268.48406,35498.75176,49977.25939,6962796.643,1
